場所/物品,備考,入金,出金,日付
マニラ空港/水,,,40,"September 9, 2024"
冴の残り,,31,,"September 8, 2024"
マニラ空港/Exchange,,5565,,"September 9, 2024"
セブ/キャストチップ,,,1000,"September 9, 2024"
セブ/ダンサーチップ,,,500,"September 10, 2024"
セブ/キャストチップ,,,1000,"September 10, 2024"
,,,,
,,,,
