名前,HP,コスト意識,コミュニケーション力,スケジュール管理,ヒアリング力,予算調整力,品質・誠実さ,担当,提案力,経緯,見積の透明性
フロムアート,https://fromart.co.jp/,3,2,2,2,1,2,菊池(社長)、布施,2,カチタス,1
トヨタウッドユーホーム,https://www.toyota-woodyou.co.jp/,4,4,4,4,3,4,玉井,4,SUUMOリフォーム,
住友不動産ハウジング株式会社 / 住友不動産の新築そっくりさん,https://www.sokkuri3.com/lp/reform2021_003/?utm_source=google&utm_medium=cpc&utm_campaign=search_02241201&argument=7UPx7um2&dmai=a61021d3496bbb&sokkuri=100&gad_source=1&gad_campaignid=6464907059&gbraid=0AAAAADfFz9-sClJTFqfgEmUXUGaYln_YB&gclid=Cj0KCQiAiKzIBhCOARIsAKpKLAMCDTfSy4ix1a4StQRNX6k611kGyfF_hsRx5zdE1q9GHWHBz0hhC_UaAhMgEALw_wcB,,,,,,,大柿,,SUUMOリフォーム,
パナソニックホームズ北関東株式会社,https://homes.panasonic.com/phkk/,,,,,,,中野,,SUUMOリフォーム,
タムラ建設,https://tamura-k.co.jp/,3,3,4,3,3,4,関谷,3,SUUMOリフォーム,
